Louis Belpedio,MIN,1997-10-19 16:36:00.591062,1000,D,1,0,0,1,3
Alex Belzile,MTL,1992-10-20 16:36:00.591600,1000,F,2,0,1,0,2
Emil Bemstrom,CBJ,2000-10-18 16:36:00.592142,1000,C,20,3,2,8,15
Jamie Benn,DAL,1990-10-21 16:36:00.593073,1000,LW,52,11,24,27,73
Jordie Benn,TOT,1988-10-21 16:36:00.593615,1000,D,39,1,9,51,19
Jordie Benn,VAN,1988-10-21 16:36:00.594156,1000,D,31,1,8,46,14
Jordie Benn,WPG,1988-10-21 16:36:00.594762,1000,D,8,0,1,5,5
Sam Bennett,TOT,1997-10-19 16:36:00.595319,1000,C,48,10,17,18,108
Sam Bennett,CGY,1997-10-19 16:36:00.595901,1000,C,38,4,8,17,79
Sam Bennett,FLA,1997-10-19 16:36:00.596448,1000,C,10,6,9,1,29
Matt Benning,NSH,1995-10-20 16:36:00.597034,1000,D,53,1,3,53,55
Simon Benoit,ANA,1999-10-19 16:36:00.597591,1000,D,6,0,0,9,20
Patrice Bergeron,BOS,1986-10-22 16:36:00.598141,1000,C,54,23,25,36,49
Lean Bergmann,SJS,1999-10-19 16:36:00.599331,1000,F,1,0,0,1,3
Jacob Bernard-Docker,OTT,2001-10-18 16:36:00.600545,1000,D,5,0,0,5,3
Tyler Bertuzzi,DET,1996-10-19 16:36:00.601700,1000,LW,9,5,2,3,13
Alex Biega,DET,1989-10-21 16:36:00.602309,1000,D,13,0,3,11,22
Clark Bishop,OTT,1997-10-19 16:36:00.602854,1000,C,13,0,3,8,23
Anthony Bitetto,NYR,1991-10-21 16:36:00.603404,1000,D,14,1,3,10,21
Anders Bjork,TOT,1997-10-19 16:36:00.603949,1000,LW,45,5,6,13,48
Anders Bjork,BOS,1997-10-19 16:36:00.604494,1000,LW,30,2,3,9,37
Anders Bjork,BUF,1997-10-19 16:36:00.605076,1000,LW,15,3,3,4,11
Oliver Bjorkstrand,CBJ,1996-10-19 16:36:00.605623,1000,RW,56,18,26,30,42
Tobias Bjornfot,LAK,2002-10-18 16:36:00.606227,1000,D,33,1,5,34,28
Nick Bjugstad,MIN,1993-10-20 16:36:00.606779,1000,C,44,6,11,22,48
Colin Blackwell,NYR,1994-10-20 16:36:00.607315,1000,C,47,12,10,19,45
Sammy Blais,STL,1997-10-19 16:36:00.607880,1000,LW,36,8,7,10,103
Joachim Blichfeld,SJS,1999-10-19 16:36:00.608417,1000,W,5,1,0,2,2
Anton Blidh,BOS,1996-10-19 16:36:00.608953,1000,LW,10,1,0,4,25
Teddy Blueger,PIT,1995-10-20 16:36:00.609875,1000,C,43,7,15,25,53
Brock Boeser,VAN,1998-10-19 16:36:00.610412,1000,RW,56,23,26,20,32
Zach Bogosian,TOR,1991-10-21 16:36:00.610964,1000,D,45,0,4,31,67
Nick Bonino,MIN,1989-10-21 16:36:00.611502,1000,C,55,10,16,50,11
Adam Boqvist,CHI,2001-10-18 16:36:00.612065,1000,D,35,2,14,29,29
Jesper Boqvist,NJD,1999-10-19 16:36:00.612761,1000,C,28,4,3,10,15
William Borgen,BUF,1997-10-19 16:36:00.613364,1000,D,10,0,0,14,30
Andreas Borgman,TBL,1996-10-19 16:36:00.613907,1000,D,7,0,2,3,10
Mark Borowiecki,NSH,1990-10-21 16:36:00.614546,1000,D,22,0,1,37,54
Robert Bortuzzo,STL,1990-10-21 16:36:00.615239,1000,D,40,1,4,49,85
Evan Bouchard,EDM,2000-10-18 16:36:00.616359,1000,D,14,2,3,11,11
Madison Bowey,CHI,1996-10-19 16:36:00.617188,1000,D,2,0,1,1,4
Travis Boyd,TOT,1994-10-20 16:36:00.617914,1000,C,39,5,5,15,18
Travis Boyd,TOR,1994-10-20 16:36:00.618475,1000,C,20,3,5,9,9
Travis Boyd,VAN,1994-10-20 16:36:00.619009,1000,C,19,2,0,6,9
Tyler Bozak,STL,1987-10-22 16:36:00.619575,1000,C,31,5,12,20,17
Erik Brannstrom,OTT,2000-10-18 16:36:00.620110,1000,D,30,2,11,18,26
Derick Brassard,ARI,1988-10-21 16:36:00.620643,1000,C,53,8,12,5,80
Jesper Bratt,NJD,1999-10-19 16:36:00.621178,1000,W,46,7,23,18,31
Justin Braun,PHI,1988-10-21 16:36:00.621734,1000,D,53,1,5,73,78
Guillaume Brisebois,VAN,1998-10-19 16:36:00.622453,1000,D,1,0,0,3,0
T.J. Brodie,TOR,1991-10-21 16:36:00.623006,1000,D,56,1,13,84,34
Jonas Brodin,MIN,1994-10-20 16:36:00.623927,1000,D,53,9,14,99,35
Jonny Brodzinski,NYR,1994-10-20 16:36:00.624460,1000,C,5,1,0,2,4
Mathias Brome,DET,1995-10-20 16:36:00.625023,1000,F,26,1,1,7,19
Adam Brooks,TOR,1997-10-19 16:36:00.625564,1000,C,11,4,1,2,14
Connor Brown,OTT,1994-10-20 16:36:00.626093,1000,RW,56,21,14,30,22
Dustin Brown,LAK,1985-10-22 16:36:00.626626,1000,RW,49,17,14,10,85
Josh Brown,OTT,1994-10-20 16:36:00.627153,1000,D,26,0,1,40,71
Logan Brown,OTT,1999-10-19 16:36:00.627683,1000,C,1,0,0,0,0
Patrick Brown,VEG,1993-10-20 16:36:00.628219,1000,C,4,0,0,2,7
Jacob Bryson,BUF,1998-10-19 16:36:00.628748,1000,D,38,1,8,43,32
Pavel Buchnevich,NYR,1996-10-19 16:36:00.629646,1000,LW,54,20,28,29,49
Connor Bunnaman,PHI,1999-10-19 16:36:00.630198,1000,F,18,0,1,6,31
Michael Bunting,ARI,1996-10-19 16:36:00.630820,1000,LW,21,10,3,1,28
