Tobias Bjornfot,LAK,2002-10-18,1000.0,D,33,1,5,34,28
Nick Bjugstad,MIN,1993-10-20,1000.0,C,44,6,11,22,48
Sammy Blais,STL,1997-10-19,1000.0,LW,36,8,7,10,103
Teddy Blueger,PIT,1995-10-20,1000.0,C,43,7,15,25,53
Brock Boeser,VAN,1998-10-19,1000.0,RW,56,23,26,20,32
Zach Bogosian,TOR,1991-10-21,1000.0,D,45,0,4,31,67
Nick Bonino,MIN,1989-10-21,1000.0,C,55,10,16,50,11
Adam Boqvist,CHI,2001-10-18,1000.0,D,35,2,14,29,29
Jesper Boqvist,NJD,1999-10-19,1000.0,C,28,4,3,10,15
Robert Bortuzzo,STL,1990-10-21,1000.0,D,40,1,4,49,85
Travis Boyd,TOT,1994-10-20,1000.0,C,39,5,5,15,18
Tyler Bozak,STL,1987-10-22,1000.0,C,31,5,12,20,17
Erik Brannstrom,OTT,2000-10-18,1000.0,D,30,2,11,18,26
Derick Brassard,ARI,1988-10-21,1000.0,C,53,8,12,5,80
Jesper Bratt,NJD,1999-10-19,1000.0,W,46,7,23,18,31
Justin Braun,PHI,1988-10-21,1000.0,D,53,1,5,73,78
T.J. Brodie,TOR,1991-10-21,1000.0,D,56,1,13,84,34
Jonas Brodin,MIN,1994-10-20,1000.0,D,53,9,14,99,35
Mathias Brome,DET,1995-10-20,1000.0,F,26,1,1,7,19
Connor Brown,OTT,1994-10-20,1000.0,RW,56,21,14,30,22
Dustin Brown,LAK,1985-10-22,1000.0,RW,49,17,14,10,85
Josh Brown,OTT,1994-10-20,1000.0,D,26,0,1,40,71
Jacob Bryson,BUF,1998-10-19,1000.0,D,38,1,8,43,32
Pavel Buchnevich,NYR,1996-10-19,1000.0,LW,54,20,28,29,49
Michael Bunting,ARI,1996-10-19,1000.0,LW,21,10,3,1,28
Andre Burakovsky,COL,1996-10-19,1000.0,LW,53,19,25,16,22
Brent Burns,SJS,1986-10-22,1000.0,D,56,7,22,94,31
Will Butcher,NJD,1995-10-20,1000.0,D,23,1,10,28,7
Paul Byron,MTL,1990-10-21,1000.0,LW,46,5,11,22,116
Nicholas Caamano,DAL,1999-10-19,1000.0,RW,24,0,1,8,41
Drake Caggiula,TOT,1995-10-20,1000.0,LW,38,3,7,9,64
Drake Caggiula,ARI,1995-10-20,1000.0,LW,27,1,6,6,49
Brandon Carlo,BOS,1997-10-19,1000.0,D,27,3,1,35,38
Ryan Carpenter,CHI,1991-10-21,1000.0,C,40,4,1,17,78
William Carrier,VEG,1995-10-20,1000.0,LW,52,6,9,13,131
Jeff Carter,TOT,1985-10-22,1000.0,C,54,17,13,30,41
Jeff Carter,LAK,1985-10-22,1000.0,C,40,8,11,20,36
Cody Ceci,PIT,1994-10-20,1000.0,D,53,4,13,70,74
Zdeno Chara,WSH,1978-10-24,1000.0,D,55,2,8,67,88
Ben Chiarot,MTL,1992-10-20,1000.0,D,41,1,6,60,77
